,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time
AU_4084,Australia,4084,SHAY GAP,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor4084_999999998752773.txt,-20.4958,120.1672,164m,19904,26.08,5min,mm,NA,-999.0,0.0, Changed LST,164.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_4084.txt,21,mm,AU_4084,1973102417,1976020100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,1976-01-31 16:00:00+00:00,1973-10-24 09:00:00+00:00
AU_14633,Australia,14633,ROPER BAR STORE,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor14633_999999998752779.txt,-14.7356,134.5291,18m,2472,36.93,5min,mm,NA,-999.0,0.03, Changed LST,18.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_14633.txt,21,mm,AU_14633,1976102101,1977020100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,1977-01-31 14:30:00+00:00,1976-10-20 15:30:00+00:00
AU_82042,Australia,82042,STRATHBOGIE,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor82042_999999998752770.txt,-36.8472,145.7308,502m,364419,7.59,5min,mm,NA,-999.0,0.0, Changed LST,502.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_82042.txt,21,mm,AU_82042,1974010322,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-07-31 14:00:00+00:00,1974-01-03 12:00:00+00:00
AU_66078,Australia,66078,LUCAS HEIGHTS (ANSTO),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor66078_999999998752763.txt,-34.0517,150.98,140m,79084,5.33,5min,mm,NA,-999.0,0.0, Changed LST,140.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_66078.txt,21,mm,AU_66078,1959082421,1968090100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1968-08-31 14:00:00+00:00,1959-08-24 11:00:00+00:00
AU_8038,Australia,8038,MOORA WEST,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor8038_999999998752773.txt,-30.6392,115.9883,205m,110954,48.84,5min,mm,NA,-999.0,0.01, Changed LST,205.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_8038.txt,21,mm,AU_8038,1999070423,2012030100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2012-02-29 16:00:00+00:00,1999-07-04 15:00:00+00:00
AU_40659,Australia,40659,GREENBANK THOMPSON ROAD,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40659_999999998752738.txt,-27.6956,152.9408,77m,341443,14.28,5min,mm,NA,-999.0,0.0, Changed LST,77.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40659.txt,21,mm,AU_40659,1975121906,2014120100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2014-11-30 14:00:00+00:00,1975-12-18 20:00:00+00:00
AU_61175,Australia,61175,MOUNT DARKEY,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61175_999999998752763.txt,-32.7,151.0,365.8m,93311,3.57,5min,mm,NA,-999.0,0.0, Changed LST,365.8,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61175.txt,21,mm,AU_61175,1958120902,1969080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1969-07-31 14:00:00+00:00,1958-12-08 16:00:00+00:00
AU_44211,Australia,44211,CHESTERTON TM,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor44211_999999998752738.txt,-25.3353,147.3,520m,19905,34.55,5min,mm,NA,-999.0,0.01, Changed LST,520.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_44211.txt,21,mm,AU_44211,1998072516,2000110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2000-10-31 14:00:00+00:00,1998-07-25 06:00:00+00:00
AU_2048,Australia,2048,FLORA VALLEY,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor2048_999999998752773.txt,-18.2972,128.4419,380m,60672,20.55,5min,mm,NA,-999.0,0.0, Changed LST,380.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_2048.txt,21,mm,AU_2048,1997093001,2004090100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2004-08-31 16:00:00+00:00,1997-09-29 17:00:00+00:00
AU_9628,Australia,9628,COLLIE,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor9628_999999998752773.txt,-33.36,116.1467,204m,110871,22.88,5min,mm,NA,-999.0,0.0, Changed LST,204.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_9628.txt,21,mm,AU_9628,1956060910,1969020100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,1969-01-31 16:00:00+00:00,1956-06-09 02:00:00+00:00
AU_23894,Australia,23894,HINDMARSH ISLAND AWS,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23894_999999998752775.txt,-35.5194,138.8177,11m,104830,21.35,5min,mm,NA,-999.0,0.0, Changed LST,11.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23894.txt,21,mm,AU_23894,2003021603,2015020100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-01-31 14:30:00+00:00,2003-02-15 17:30:00+00:00
AU_69117,Australia,69117,NERRIGA (LEONREX),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor69117_999999998752763.txt,-35.15,150.1167,640m,72048,4.19,5min,mm,NA,-999.0,0.0, Changed LST,640.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_69117.txt,21,mm,AU_69117,1975061301,1983090100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1983-08-31 14:00:00+00:00,1975-06-12 15:00:00+00:00
AU_19113,Australia,19113,EDEOWIE,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor19113_999999998752775.txt,-31.448,138.4531,159m,97128,3.3,5min,mm,NA,-999.0,0.01, Changed LST,159.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_19113.txt,21,mm,AU_19113,2004040101,2015050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-04-30 14:30:00+00:00,2004-03-31 15:30:00+00:00
AU_35149,Australia,35149,BRIGALOW RESEARCH STN,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor35149_999999998752738.txt,-24.8353,149.8003,168m,93229,7.2,5min,mm,NA,-999.0,0.01, Changed LST,168.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_35149.txt,21,mm,AU_35149,2000101112,2011060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2011-05-31 14:00:00+00:00,2000-10-11 02:00:00+00:00
AU_25507,Australia,25507,KEITH,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor25507_999999998752775.txt,-36.098,140.3556,29m,127380,5.1,5min,mm,NA,-999.0,0.0, Changed LST,29.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_25507.txt,21,mm,AU_25507,1989081913,2004030100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2004-02-29 14:30:00+00:00,1989-08-19 03:30:00+00:00
AU_14128,Australia,14128,DS12,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor14128_999999998752779.txt,-12.5917,131.3227,13m,6537,10.08,5min,mm,NA,-999.0,0.2, Changed LST,13.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_14128.txt,21,mm,AU_14128,2006110116,2007080100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2007-07-31 14:30:00+00:00,2006-11-01 06:30:00+00:00
AU_14201,Australia,14201,COX PENINSULA TRANSMITTER,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor14201_999999998752779.txt,-12.4124,130.6264,16.5m,74111,29.54,5min,mm,NA,-999.0,0.01, Changed LST,16.5,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_14201.txt,21,mm,AU_14201,2005031902,2013090100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2013-08-31 14:30:00+00:00,2005-03-18 16:30:00+00:00
AU_39089,Australia,39089,THANGOOL AIRPORT,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39089_999999998752738.txt,-24.4935,150.5709,193.1m,153224,6.66,5min,mm,NA,-999.0,0.0, Changed LST,193.1,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39089.txt,21,mm,AU_39089,1997100717,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-03-31 14:00:00+00:00,1997-10-07 07:00:00+00:00
AU_23865,Australia,23865,LENSWOOD (STRINGYBARK),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23865_999999998752775.txt,-34.8944,138.8099,540m,4061,0.1,5min,mm,NA,-999.0,0.0, Changed LST,540.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23865.txt,21,mm,AU_23865,1991061420,1991120100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,1991-11-30 14:30:00+00:00,1991-06-14 10:30:00+00:00
AU_37051,Australia,37051,WINTON POST OFFICE,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor37051_999999998752738.txt,-22.3908,143.0386,181.9m,417952,10.45,5min,mm,NA,-999.0,0.0, Changed LST,181.9,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_37051.txt,21,mm,AU_37051,1964092609,2012060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2012-05-31 14:00:00+00:00,1964-09-25 23:00:00+00:00
AU_97007,Australia,97007,PORT DAVEY (MELALEUCA),B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor97007_999999998752777.txt,-43.4297,146.1597,6m,29952,1.7,5min,mm,NA,-999.0,0.01, Changed LST,6.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_97007.txt,21,mm,AU_97007,2004030101,2007080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,2007-07-31 14:00:00+00:00,2004-02-29 15:00:00+00:00
AU_90083,Australia,90083,WEEAPROINAH,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor90083_999999998752770.txt,-38.6357,143.5127,492m,338823,9.62,5min,mm,NA,-999.0,0.0, Changed LST,492.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_90083.txt,21,mm,AU_90083,1974030810,2012110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2012-10-31 14:00:00+00:00,1974-03-08 00:00:00+00:00
AU_69102,Australia,69102,NORTH ARALUEN,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor69102_999999998752763.txt,-35.6333,149.8,168m,85973,28.04,5min,mm,NA,-999.0,0.0, Changed LST,168.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_69102.txt,21,mm,AU_69102,1970090920,1980070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1980-06-30 14:00:00+00:00,1970-09-09 10:00:00+00:00
AU_23804,Australia,23804,VICTOR HARBOR (ENCOUNTER BAY),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23804_999999998752775.txt,-35.5544,138.5997,8m,123269,7.87,5min,mm,NA,-999.0,0.0, Changed LST,8.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23804.txt,21,mm,AU_23804,2001040720,2015050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-04-30 14:30:00+00:00,2001-04-07 10:30:00+00:00
AU_83031,Australia,83031,WHITFIELD,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor83031_999999998752770.txt,-36.7513,146.4156,240m,255639,10.68,5min,mm,NA,-999.0,0.0, Changed LST,240.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_83031.txt,21,mm,AU_83031,1962100210,1991120100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1991-11-30 14:00:00+00:00,1962-10-02 00:00:00+00:00
AU_34091,Australia,34091,OLIVE DOWNS,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor34091_999999998752738.txt,-22.1333,148.3,198m,6063,16.64,5min,mm,NA,-999.0,0.13, Changed LST,198.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_34091.txt,21,mm,AU_34091,1980052410,1981020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,1981-01-31 14:00:00+00:00,1980-05-24 00:00:00+00:00
AU_6022,Australia,6022,GASCOYNE JUNCTION,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor6022_999999998752773.txt,-25.0544,115.21,144m,241184,9.9,5min,mm,NA,-999.0,0.0, Changed LST,144.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_6022.txt,21,mm,AU_6022,1987082517,2015030100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2015-02-28 16:00:00+00:00,1987-08-25 09:00:00+00:00
AU_40459,Australia,40459,CARINA BCC DONALDSON RD,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40459_999999998752738.txt,-27.5,153.1,20m,151502,9.27,5min,mm,NA,-999.0,0.0, Changed LST,20.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40459.txt,21,mm,AU_40459,1971111811,1989030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,1989-02-28 14:00:00+00:00,1971-11-18 01:00:00+00:00
AU_15666,Australia,15666,RABBIT FLAT,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor15666_999999998752779.txt,-20.1823,130.0148,340m,168024,25.52,5min,mm,NA,-999.0,0.0, Changed LST,340.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_15666.txt,21,mm,AU_15666,1996070101,2015090100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2015-08-31 14:30:00+00:00,1996-06-30 15:30:00+00:00
AU_89082,Australia,89082,BEAUFORT (SHEEPWASH),B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor89082_999999998752770.txt,-37.5042,143.2792,332m,359926,11.96,5min,mm,NA,-999.0,0.0, Changed LST,332.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_89082.txt,21,mm,AU_89082,1974051003,2015060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-05-31 14:00:00+00:00,1974-05-09 17:00:00+00:00
AU_35040,Australia,35040,WESTGROVE TM,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor35040_999999998752738.txt,-25.5811,148.4811,460m,33618,0.33,5min,mm,NA,-999.0,0.0, Changed LST,460.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_35040.txt,21,mm,AU_35040,1996083007,2000070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2000-06-30 14:00:00+00:00,1996-08-29 21:00:00+00:00
AU_14134,Australia,14134,RUM JUNGLE WATER RES.,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor14134_999999998752779.txt,-13.15,131.0,98m,21536,40.2,5min,mm,NA,-999.0,0.01, Changed LST,98.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_14134.txt,21,mm,AU_14134,1962101617,1965040100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,1965-03-31 14:30:00+00:00,1962-10-16 07:30:00+00:00
AU_44115,Australia,44115,CHESTERTON,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor44115_999999998752738.txt,-25.3353,147.3,538m,353397,8.69,5min,mm,NA,-999.0,0.0, Changed LST,538.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_44115.txt,21,mm,AU_44115,1970110604,2011030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2011-02-28 14:00:00+00:00,1970-11-05 18:00:00+00:00
AU_23083,Australia,23083,EDINBURGH RAAF,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23083_999999998752775.txt,-34.7111,138.6222,16.5m,309385,4.34,5min,mm,NA,-999.0,0.0, Changed LST,16.5,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23083.txt,21,mm,AU_23083,1979111400,2015030100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-02-28 14:30:00+00:00,1979-11-13 14:30:00+00:00
AU_32042,Australia,32042,TULLY SUGAR MILL,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor32042_999999998752738.txt,-17.9364,145.9253,18.8m,372951,8.96,5min,mm,NA,-999.0,0.0, Changed LST,18.8,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_32042.txt,21,mm,AU_32042,1972111310,2015060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-05-31 14:00:00+00:00,1972-11-13 00:00:00+00:00
AU_55302,Australia,55302,NUNDLE (CHAFFEY DAM),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor55302_999999998752763.txt,-31.3555,151.136,520m,328876,40.67,5min,mm,NA,-999.0,0.0, Changed LST,520.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_55302.txt,21,mm,AU_55302,1977112321,2015060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-05-31 14:00:00+00:00,1977-11-23 11:00:00+00:00
AU_84151,Australia,84151,COMBIENBAR,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor84151_999999998752770.txt,-37.3983,149.0153,225m,63919,9.53,5min,mm,NA,-999.0,0.2, Changed LST,225.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_84151.txt,21,mm,AU_84151,2008041518,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-07-31 14:00:00+00:00,2008-04-15 08:00:00+00:00
AU_91179,Australia,91179,LAUNCESTON (RADIO STATION 7EX),B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor91179_999999998752777.txt,-41.45,147.15,106.7m,52551,2.5,5min,mm,NA,-999.0,0.0, Changed LST,106.7,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_91179.txt,21,mm,AU_91179,1966010210,1972010100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,1971-12-31 14:00:00+00:00,1966-01-02 00:00:00+00:00
AU_71034,Australia,71034,GUTHEGA POWER STATION,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor71034_999999998752763.txt,-36.3517,148.4125,1340m,45941,0.8,5min,mm,NA,-999.0,0.0, Changed LST,1340.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_71034.txt,21,mm,AU_71034,1969070420,1974100100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1974-09-30 14:00:00+00:00,1969-07-04 10:00:00+00:00
AU_74037,Australia,74037,YANCO AGRICULTURAL INSTITUTE,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor74037_999999998752763.txt,-34.6222,146.4326,164m,115537,12.44,5min,mm,NA,-999.0,0.01, Changed LST,164.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_74037.txt,21,mm,AU_74037,2002042600,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,2002-04-25 14:00:00+00:00
AU_1033,Australia,1033,DRYSDALE RIVER AIRSTRIP,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor1033_999999998752773.txt,-15.7119,126.3817,380m,33685,2.24,5min,mm,NA,-999.0,0.01, Changed LST,380.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_1033.txt,21,mm,AU_1033,1999102812,2003090100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2003-08-31 16:00:00+00:00,1999-10-28 04:00:00+00:00
AU_87108,Australia,87108,WERRIBEE SOUTH,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor87108_999999998752770.txt,-37.95,144.7167,3m,7833,10.88,5min,mm,NA,-999.0,0.01, Changed LST,3.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_87108.txt,21,mm,AU_87108,1965060816,1966050100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1966-04-30 14:00:00+00:00,1965-06-08 06:00:00+00:00
AU_29009,Australia,29009,CLONCURRY AERO,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor29009_999999998752738.txt,-20.6717,140.5083,189m,190632,2.61,5min,mm,NA,-999.0,0.0, Changed LST,189.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_29009.txt,21,mm,AU_29009,1953100101,1975070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,1975-06-30 14:00:00+00:00,1953-09-30 15:00:00+00:00
AU_10795,Australia,10795,AVONDALE FARM,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor10795_999999998752773.txt,-32.1178,116.8678,200m,479146,24.41,5min,mm,NA,-999.0,0.0, Changed LST,200.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_10795.txt,21,mm,AU_10795,1960080215,2015040100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2015-03-31 16:00:00+00:00,1960-08-02 07:00:00+00:00
AU_24024,Australia,24024,LOXTON RESEARCH CENTRE,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor24024_999999998752775.txt,-34.439,140.5978,30.1m,346153,23.94,5min,mm,NA,-999.0,0.0, Changed LST,30.1,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_24024.txt,21,mm,AU_24024,1976030600,2015090100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-31 14:30:00+00:00,1976-03-05 14:30:00+00:00
AU_16090,Australia,16090,COOBER PEDY AIRPORT,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor16090_999999998752775.txt,-29.0347,134.7222,225m,127080,12.77,5min,mm,NA,-999.0,0.0, Changed LST,225.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_16090.txt,21,mm,AU_16090,2000100101,2015040100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-03-31 14:30:00+00:00,2000-09-30 15:30:00+00:00
AU_99014,Australia,99014,MEMANA (BABEL FARM),B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor99014_999999998752777.txt,-40.0194,148.1822,12m,157765,4.94,5min,mm,NA,-999.0,0.0, Changed LST,12.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_99014.txt,21,mm,AU_99014,1997070112,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,2015-06-30 14:00:00+00:00,1997-07-01 02:00:00+00:00
AU_85235,Australia,85235,EAST TARWIN NO.18,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor85235_999999998752770.txt,-38.5269,146.2581,365.8m,41439,16.07,5min,mm,NA,-999.0,0.0, Changed LST,365.8,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_85235.txt,21,mm,AU_85235,1972051110,1977020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1977-01-31 14:00:00+00:00,1972-05-11 00:00:00+00:00
AU_40101,Australia,40101,IPSWICH,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40101_999999998752738.txt,-27.6117,152.7608,39.9m,164180,13.05,5min,mm,NA,-999.0,0.0, Changed LST,39.9,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40101.txt,21,mm,AU_40101,1975060805,1994030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,1994-02-28 14:00:00+00:00,1975-06-07 19:00:00+00:00
AU_87152,Australia,87152,LERDERDERG NO4 RECORDER,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor87152_999999998752770.txt,-37.4333,144.3167,732m,63545,44.31,5min,mm,NA,-999.0,0.0, Changed LST,732.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_87152.txt,21,mm,AU_87152,1973110208,1981020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1981-01-31 14:00:00+00:00,1973-11-01 22:00:00+00:00
AU_15144,Australia,15144,TENNANT CREEK LP PLUVIO,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor15144_999999998752779.txt,-19.575,134.1833,375m,77246,56.32,5min,mm,NA,-999.0,0.0, Changed LST,375.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_15144.txt,21,mm,AU_15144,1972110811,1981090100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,1981-08-31 14:30:00+00:00,1972-11-08 01:30:00+00:00
AU_43044,Australia,43044,YULEBA STATE FOREST,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor43044_999999998752738.txt,-26.6383,149.4261,326m,414161,9.97,5min,mm,NA,-999.0,0.0, Changed LST,326.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_43044.txt,21,mm,AU_43044,1967010108,2014040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2014-03-31 14:00:00+00:00,1966-12-31 22:00:00+00:00
AU_65035,Australia,65035,WELLINGTON RESEARCH CENTRE,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor65035_999999998752763.txt,-32.5059,148.9708,390m,386262,5.15,5min,mm,NA,-999.0,0.0, Changed LST,390.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_65035.txt,21,mm,AU_65035,1961020519,2005030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2005-02-28 14:00:00+00:00,1961-02-05 09:00:00+00:00
AU_16001,Australia,16001,WOOMERA AERODROME,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor16001_999999998752775.txt,-31.1558,136.8054,166.6m,520455,9.5,5min,mm,NA,-999.0,0.0, Changed LST,166.6,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_16001.txt,21,mm,AU_16001,1955081810,2015010100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2014-12-31 14:30:00+00:00,1955-08-18 00:30:00+00:00
AU_23307,Australia,23307,KAPUNDA,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23307_999999998752775.txt,-34.3412,138.9155,245m,59932,6.03,5min,mm,NA,-999.0,0.0, Changed LST,245.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23307.txt,21,mm,AU_23307,1957042921,1964030100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,1964-02-29 14:30:00+00:00,1957-04-29 11:30:00+00:00
