,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time
AU_44026,Australia,44026,CUNNAMULLA POST OFFICE,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor44026_999999998752738.txt,-28.0689,145.6822,188.8m,373535,10.42,5min,mm,NA,-999.0,0.0, Changed LST,188.8,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_44026.txt,21,mm,AU_44026,1971082102,2014040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2014-03-31 14:00:00+00:00,1971-08-20 16:00:00+00:00
AU_92034,Australia,92034,ST MARYS (CLIVE STREET),B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor92034_999999998752777.txt,-41.5817,148.1825,258m,16551,25.32,5min,mm,NA,-999.0,0.01, Changed LST,258.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_92034.txt,21,mm,AU_92034,1964031310,1966020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,1966-01-31 14:00:00+00:00,1964-03-13 00:00:00+00:00
AU_36026,Australia,36026,ISISFORD POST OFFICE,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor36026_999999998752738.txt,-24.2591,144.4406,203m,346719,13.35,5min,mm,NA,-999.0,0.0, Changed LST,203.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_36026.txt,21,mm,AU_36026,1974091110,2014040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2014-03-31 14:00:00+00:00,1974-09-11 00:00:00+00:00
AU_42115,Australia,42115,LUNDAVRA TM,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor42115_999999998752738.txt,-28.0697,149.9794,240m,1551,8.9,5min,mm,NA,-999.0,0.16, Changed LST,240.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_42115.txt,21,mm,AU_42115,2000082810,2000110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2000-10-31 14:00:00+00:00,2000-08-28 00:00:00+00:00
AU_15553,Australia,15553,HAMILTON DOWNS,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor15553_999999998752779.txt,-23.5092,133.2677,594m,176672,38.46,5min,mm,NA,-999.0,0.0, Changed LST,594.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_15553.txt,21,mm,AU_15553,1995070617,2015090100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2015-08-31 14:30:00+00:00,1995-07-06 07:30:00+00:00
AU_85106,Australia,85106,OLSENS BRIDGE (MORWELL RIVER PRISON),B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor85106_999999998752770.txt,-38.4861,146.3233,182.9m,193543,15.37,5min,mm,NA,-999.0,0.0, Changed LST,182.9,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_85106.txt,21,mm,AU_85106,1957010218,1979020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1979-01-31 14:00:00+00:00,1957-01-02 08:00:00+00:00
AU_60026,Australia,60026,PORT MACQUARIE (HILL ST),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor60026_999999998752763.txt,-31.4399,152.911,20m,18055,14.16,5min,mm,NA,-999.0,0.0, Changed LST,20.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_60026.txt,21,mm,AU_60026,1964120918,1967010100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1966-12-31 14:00:00+00:00,1964-12-09 08:00:00+00:00
AU_39349,Australia,39349,WESTWOOD TM,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39349_999999998752738.txt,-23.6264,150.1547,160m,19895,26.0,5min,mm,NA,-999.0,0.04, Changed LST,160.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39349.txt,21,mm,AU_39349,1998072602,2000110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2000-10-31 14:00:00+00:00,1998-07-25 16:00:00+00:00
AU_21079,Australia,21079,MOUNT ZION,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor21079_999999998752775.txt,-33.1935,138.2088,470m,87697,14.82,5min,mm,NA,-999.0,0.04, Changed LST,470.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_21079.txt,21,mm,AU_21079,2005083000,2015090100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-31 14:30:00+00:00,2005-08-29 14:30:00+00:00
AU_42085,Australia,42085,ULUPNA,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor42085_999999998752738.txt,-27.9167,150.1833,18m,131223,12.7,5min,mm,NA,-999.0,0.01, Changed LST,18.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_42085.txt,21,mm,AU_42085,1973021110,1988020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,1988-01-31 14:00:00+00:00,1973-02-11 00:00:00+00:00
